Seed,Task,Model,Popsize,Generations,Mutation_rate,Selection_strength,adaptation_rate,richness,variance
1,194,Equal,5000,20000,0,0.1,0,1,0
1,195,Equal,7500,30000,0,0.1,0,1,0
1,196,Equal,10000,40000,0,0.1,0,1,0
1,197,Equal,25000,1e+05,0,0.1,0,1,0
1,198,Equal,50000,2e+05,0,0.1,0,1,0
1,199,Equal,75000,3e+05,0,0.1,0,1,0
1,200,Equal,1e+05,4e+05,0,0.1,0,1,0
2,1,Equal,500,2000,1e-05,0.1,0.002664,1.86363636363636,0.181849326732673
2,2,Equal,1000,4000,1e-05,0.1,0.0022625,2.31818181818182,0.197280420792079
2,3,Equal,2500,10000,1e-05,0.1,0.004522,3.77272727272727,0.515212357425743
2,4,Equal,5000,20000,1e-05,0.1,0.0042763,4.18181818181818,0.620109681188119
2,5,Equal,7500,30000,1e-05,0.1,0.00459766666666667,5.31818181818182,0.840625698019802
2,6,Equal,10000,40000,1e-05,0.1,0.00529955,6.27272727272727,1.23003100990099
2,7,Equal,25000,1e+05,1e-05,0.1,0.00581928,11.2727272727273,3.04313
2,8,Equal,50000,2e+05,1e-05,0.1,0.0061461,16.5454545454545,6.16458831683168
2,9,Equal,75000,3e+05,1e-05,0.1,0.00601013333333334,21.6363636363636,9.13189935643564
2,10,Equal,1e+05,4e+05,1e-05,0.1,0.00616725,25.1363636363636,12.0201941584158
2,11,Equal,500,2000,1e-05,0.1,0.000311999999999998,1.22727272727273,0.0155353465346535
2,12,Equal,1000,4000,1e-05,0.1,0.0014215,2.09090909090909,0.157681797029703
2,13,Equal,2500,10000,1e-05,0.1,0.0028042,2.86363636363636,0.311369347128713
2,14,Equal,5000,20000,1e-05,0.1,0.0042317,4.27272727272727,0.641845391089109
2,15,Equal,7500,30000,1e-05,0.1,0.0046246,5.36363636363636,0.881945212871287
2,16,Equal,10000,40000,1e-05,0.1,0.00523905,6.63636363636364,1.21719093564356
2,17,Equal,25000,1e+05,1e-05,0.1,0.00579088,10.8636363636364,2.96454103960396
2,18,Equal,50000,2e+05,1e-05,0.1,0.0060139,16.8636363636364,6.05003767326733
2,19,Equal,75000,3e+05,1e-05,0.1,0.006208,22.0454545454545,9.40559559405941
2,20,Equal,1e+05,4e+05,1e-05,0.1,0.0063638,25.5909090909091,12.5802360891089
2,21,Equal,500,2000,1e-05,0.1,0.001884,2,0.191246415841584
2,22,Equal,1000,4000,1e-05,0.1,0.0021175,2.27272727272727,0.21620746039604
2,23,Equal,2500,10000,1e-05,0.1,0.002795,2.77272727272727,0.317614854455446
2,24,Equal,5000,20000,1e-05,0.1,0.0041673,4.72727272727273,0.623201168316832
2,25,Equal,7500,30000,1e-05,0.1,0.00515913333333333,5.59090909090909,0.99477647029703
2,26,Equal,10000,40000,1e-05,0.1,0.0048724,6.18181818181818,1.0717316980198
2,27,Equal,25000,1e+05,1e-05,0.1,0.00583972,10.6363636363636,2.94506366336634
2,28,Equal,50000,2e+05,1e-05,0.1,0.0061677,16.3636363636364,6.12147603960396
2,29,Equal,75000,3e+05,1e-05,0.1,0.0060046,21.4545454545455,9.04242222772277
2,30,Equal,1e+05,4e+05,1e-05,0.1,0.0061886,25.2272727272727,12.2369777722772
2,31,Equal,500,2000,1e-05,0.1,0.000677999999999997,1.18181818181818,0.0359731089108911
2,32,Equal,1000,4000,1e-05,0.1,0.0019945,2.54545454545455,0.232157396039604
2,33,Equal,2500,10000,1e-05,0.1,0.0033378,3.09090909090909,0.351019877425743
2,34,Equal,5000,20000,1e-05,0.1,0.0042705,4.45454545454545,0.64984901980198
2,35,Equal,7500,30000,1e-05,0.1,0.00480593333333333,5.31818181818182,0.884015014851485
2,36,Equal,10000,40000,1e-05,0.1,0.0053003,6.31818181818182,1.24625260891089
2,37,Equal,25000,1e+05,1e-05,0.1,0.00563522,10.1818181818182,2.86170851485149
2,38,Equal,50000,2e+05,1e-05,0.1,0.0060634,16.8181818181818,6.11956851485149
2,39,Equal,75000,3e+05,1e-05,0.1,0.0061056,20.7727272727273,9.26673306930693
2,40,Equal,1e+05,4e+05,1e-05,0.1,0.0062309,24.4090909090909,12.4311191584158
2,41,Equal,500,2000,1e-05,0.1,0,1.04545454545455,0.00133926732673267
2,42,Equal,1000,4000,1e-05,0.1,0.0017375,2.04545454545455,0.182546707920792
2,43,Equal,2500,10000,1e-05,0.1,0.0028422,3.04545454545455,0.345371628712871
2,44,Equal,5000,20000,1e-05,0.1,0.004497,4.63636363636364,0.69401402970297
2,45,Equal,7500,30000,1e-05,0.1,0.00511386666666667,5.77272727272727,0.987516514851485
2,46,Equal,10000,40000,1e-05,0.1,0.00595155,6.72727272727273,1.42311294554455
2,47,Equal,25000,1e+05,1e-05,0.1,0.00606672,10.9545454545455,3.12562909405941
2,48,Equal,50000,2e+05,1e-05,0.1,0.0061547,16.4090909090909,6.10457435643564
2,49,Equal,75000,3e+05,1e-05,0.1,0.00614426666666667,21.5454545454545,9.20568881188119
2,50,Equal,1e+05,4e+05,1e-05,0.1,0.00638115,25.8636363636364,12.5964156435644
2,51,Equal,500,2000,1e-05,0.1,0.001396,2.18181818181818,0.193476871287129
2,52,Equal,1000,4000,1e-05,0.1,0.0016345,1.81818181818182,0.139137346534653
2,53,Equal,2500,10000,1e-05,0.1,0.0032092,3.22727272727273,0.441479955445545
2,54,Equal,5000,20000,1e-05,0.1,0.0041285,4.09090909090909,0.595217633663366
2,55,Equal,7500,30000,1e-05,0.1,0.00498506666666667,5.72727272727273,0.940173787128713
2,56,Equal,10000,40000,1e-05,0.1,0.00498985,6.40909090909091,1.15979034653465
