Mean,Max,Min,Generation,Model
596.23925,618.015,569.079,32800,Equal
597.20635,618.858,569.679,32900,Equal
598.3487,620.509,570.547,33000,Equal
599.6018,622.449,571.57,33100,Equal
600.77305,623.69,572.88,33200,Equal
601.96345,625.743,574.592,33300,Equal
603.2353,627.377,575.891,33400,Equal
604.4411,629.237,577.321,33500,Equal
605.67445,630.619,578.246,33600,Equal
606.78085,632.307,579.477,33700,Equal
607.89375,633.079,580.852,33800,Equal
609.1252,633.84,582.443,33900,Equal
610.34935,634.713,583.757,34000,Equal
611.43495,635.265,585.401,34100,Equal
612.5235,636.569,586.14,34200,Equal
613.65835,637.255,587.064,34300,Equal
614.74715,638.069,588.048,34400,Equal
615.90315,638.779,589.346,34500,Equal
616.9498,639.371,590.614,34600,Equal
617.98465,639.973,591.518,34700,Equal
619.00665,640.578,592.181,34800,Equal
619.9707,641.207,592.876,34900,Equal
621.0651,641.579,593.542,35000,Equal
622.11475,642.077,594.466,35100,Equal
623.17035,642.904,595.495,35200,Equal
624.2872,643.347,596.391,35300,Equal
625.36455,644.105,597.057,35400,Equal
626.58955,645.205,598.811,35500,Equal
627.77415,646.337,600.706,35600,Equal
628.9904,647.37,602.504,35700,Equal
630.07635,648.665,603.416,35800,Equal
631.1713,649.625,604.264,35900,Equal
632.217,650.938,605.267,36000,Equal
633.29655,652.767,606.118,36100,Equal
634.4213,654.631,606.821,36200,Equal
635.73935,656.391,608.007,36300,Equal
637.0433,657.708,609.214,36400,Equal
638.1829,658.604,610.165,36500,Equal
639.44695,659.246,611.326,36600,Equal
640.62145,660.078,612.32,36700,Equal
641.7529,660.684,613.183,36800,Equal
642.97435,661.732,613.804,36900,Equal
644.27285,663.28,614.799,37000,Equal
645.48265,664.45,616.005,37100,Equal
646.577,666.124,616.829,37200,Equal
647.64405,666.9,618.053,37300,Equal
648.6403,667.285,619.437,37400,Equal
649.75605,668.605,621.19,37500,Equal
650.7578,669.551,621.964,37600,Equal
651.7978,670.557,622.745,37700,Equal
652.83225,671.331,624.155,37800,Equal
653.92065,672.127,625.114,37900,Equal
655.0641,672.83,626.006,38000,Equal
656.31915,673.367,626.803,38100,Equal
657.3125,674.192,627.311,38200,Equal
658.32885,674.876,628.085,38300,Equal
659.33925,675.733,628.663,38400,Equal
660.43165,677.323,629.648,38500,Equal
661.55295,678.285,630.306,38600,Equal
662.695,679.363,630.99,38700,Equal
663.79385,680.316,632.169,38800,Equal
664.8535,681.198,633.786,38900,Equal
666.03435,682.531,635.206,39000,Equal
667.12705,683.122,636.157,39100,Equal
668.2174,684.132,637.806,39200,Equal
669.23385,685.278,639.406,39300,Equal
670.30905,686.847,640.388,39400,Equal
671.33375,688.064,641.258,39500,Equal
672.4431,689.377,643.006,39600,Equal
673.65825,691.222,644.385,39700,Equal
674.69495,692.615,645.484,39800,Equal
675.81105,693.807,646.704,39900,Equal
676.88795,695.512,647.778,40000,Equal
